peak1_mu,peak1_amp,peak1_sigma,peak2_mu,peak2_amp,peak2_sigma,delta_mu_12,amp_ratio_12,total_area,asym_0p5C,best_K,total_amp,Species
79.30112356653544,0.9045945241785981,0.5795128373085746,75.22181991067556,0.16773101760385034,6.581794435359552,4.079303655859874,5.393126046143458,4.081280169112176,0.0414258349924993,2,1.0723255417824484,Arabian smooth-hound
79.31215469747774,0.8906299106216329,0.5726203877150366,75.24310782397636,0.1848334838320198,6.6873635178537185,4.069046873501378,4.818552831112037,4.376677096320503,0.04473349287200365,2,1.0754633944536527,Arabian smooth-hound
79.32389625704934,0.8874041761902893,0.5809183114917326,75.27105487557502,0.18147713904364413,7.192888962612112,4.052841381474323,4.889895096301794,4.564204737097318,0.04172057105943494,2,1.0688813152339334,Arabian smooth-hound
79.29539895588653,0.8821755346368727,0.5912323974703136,75.23571820005206,0.18150168023517643,7.189039302244821,4.059680755834464,4.860426248580116,4.578089509914503,0.04159629762635522,2,1.0636772148720492,Arabian smooth-hound
79.37383094536018,0.8505517993472759,0.5316125353694227,74.9968856689939,0.23364589629985746,8.427937176565356,4.3769452763662855,3.640345540738047,6.069341488836681,0.020721156023773946,2,1.0841976956471333,Arabian smooth-hound
79.28341617582203,0.8553020365280005,0.550585153873153,75.07091227930363,0.22791883671107116,7.480410634856389,4.212503896518399,3.7526605791674505,5.454029819095528,0.02366142329759094,2,1.0832208732390716,Arabian smooth-hound
76.84822700883028,0.8890008066621976,2.0326393836958068,79.43416160089126,0.40558743511521733,0.39056070431941375,-2.5859345920609798,2.191884482855762,4.926588788992068,0.04196172502323636,2,1.294588241777415,Atlantic Sharpnose shark
76.85891047821053,0.9000802236266368,1.794082590189298,79.46381132085634,0.4881555059857797,0.41486093001303975,-2.6049008426458045,1.843839128609598,4.5553830603209216,0.05063922012874533,2,1.3882357296124166,Atlantic Sharpnose shark
77.10726656676867,0.8341085864873695,2.0881481973126563,79.45743144029653,0.29812148066519156,0.3608308156387303,-2.3501648735278593,2.797881530805364,4.635542155129803,0.018681703147874873,2,1.1322300671525611,Atlantic Sharpnose shark
77.2107751842807,0.9187786506961493,2.0001065279025787,79.54710832892076,0.38088876161946217,0.3905348076744149,-2.336333144640051,2.4121967930413355,4.979180181705705,-0.0015558796866558255,2,1.2996674123156113,Atlantic Sharpnose shark
76.84706624431371,0.8859242114021795,1.9686992983255658,79.41552270238903,0.4108134908786496,0.3898863321868611,-2.5684564580753175,2.156511969338809,4.77334449638299,0.03616428052406073,2,1.296737702280829,Atlantic Sharpnose shark
77.40696644299808,0.6723242446057122,2.0044890456080178,0.0,0.0,0.0,77.40696644299808,1000000000.0,3.378099162747944,-0.2794675816065755,1,0.6723242446057122,Blackchin guitarfish
77.56956516981464,0.658600152911356,2.061511429154525,0.0,0.0,0.0,77.56956516981464,1000000000.0,3.4032786424730186,-0.35746856040598873,1,0.658600152911356,Blackchin guitarfish
77.57689451176287,0.6655243406981688,2.017390025812971,0.0,0.0,0.0,77.57689451176287,1000000000.0,3.3654546855982166,-0.35203640053213725,1,0.6655243406981688,Blackchin guitarfish
77.52369393560619,0.66691743740581,1.968125607728991,0.0,0.0,0.0,77.52369393560619,1000000000.0,3.2901433397297475,-0.35235809555505404,1,0.66691743740581,Blackchin guitarfish
77.51050323381398,0.6709171241585239,1.9416820860637076,0.0,0.0,0.0,77.51050323381398,1000000000.0,3.265404107835214,-0.3517217952073207,1,0.6709171241585239,Blackchin guitarfish
77.51846969842569,0.6782514161792829,1.9245827763770738,0.0,0.0,0.0,77.51846969842569,1000000000.0,3.2720297089556576,-0.32895967827365147,1,0.6782514161792829,Blackchin guitarfish
77.51736507395255,0.6652977815059395,1.9803934065738105,0.0,0.0,0.0,77.51736507395255,1000000000.0,3.302611441877682,-0.3461051283065133,1,0.6652977815059395,Blackchin guitarfish
77.4964117789075,0.6559647395272635,2.0818464407994712,0.0,0.0,0.0,77.4964117789075,1000000000.0,3.423096335892608,-0.3251345923954212,1,0.6559647395272635,Blackchin guitarfish
77.88079281047777,1.0188395760701812,1.2458716089368786,0.0,0.0,0.0,77.88079281047777,1000000000.0,3.1817718107237387,-0.03129674851732722,1,1.0188395760701812,Blacknose shark
77.82247997377385,1.0108588462409511,1.2640147819961038,0.0,0.0,0.0,77.82247997377385,1000000000.0,3.202820525501514,-0.03095915470870092,1,1.0108588462409511,Blacknose shark
77.65495366441009,1.0162773242282606,1.5697888692940989,0.0,0.0,0.0,77.65495366441009,1000000000.0,3.99892643638627,0.011323305383804882,1,1.0162773242282606,Blacknose shark
77.7528084483891,1.0225571435140965,1.2138550147400056,0.0,0.0,0.0,77.7528084483891,1000000000.0,3.1113175451441673,-0.028763021819527612,1,1.0225571435140965,Blacknose shark
77.71499578159518,1.0122841767661948,1.2675949118165977,0.0,0.0,0.0,77.71499578159518,1000000000.0,3.2164208578998075,-0.03059277883067335,1,1.0122841767661948,Blacknose shark
77.78804874134687,1.0691659960346453,1.1403535614359808,0.0,0.0,0.0,77.78804874134687,1000000000.0,3.056149501420399,-0.012881261734196237,1,1.0691659960346453,Blacknose shark
77.56721285590491,1.0018797477062436,1.3110207970405263,0.0,0.0,0.0,77.56721285590491,1000000000.0,3.2924191039739283,-0.03105001821445219,1,1.0018797477062436,Blacknose shark
78.91140259964526,0.8729837968625267,0.725052815975357,69.28457846116524,0.3154480403533845,7.736017884973603,9.626824138480018,2.7674408568749236,7.703548089907228,0.0042587425639780685,2,1.1884318372159113,Blackspotted smooth-hound
