peak1_mu,peak1_amp,peak1_sigma,peak2_mu,peak2_amp,peak2_sigma,delta_mu_12,amp_ratio_12,total_area,asym_0p5C,best_K,total_amp,Species
79.34057377301407,1.0441442994250043,0.5935226384931341,76.73523084693842,0.24801149115413582,1.1395201067398422,2.60534292607565,4.210064184348695,2.2618243409221797,-0.009112552247504763,2,1.29215579057914,Arabian smooth-hound
79.3568043794271,1.0444141502561475,0.5891724926967047,76.75400148055311,0.27413669575120364,1.1509574193773107,2.602802898873989,3.8098297806660275,2.3333193746119933,-0.006335507715814481,2,1.3185508460073512,Arabian smooth-hound
79.36945814128148,1.0407999890431672,0.599242557958356,76.76215797207105,0.2618198438875747,1.1481908985686864,2.6073001692104327,3.9752524889398133,2.316903609824366,-0.004874548043279248,2,1.302619832930742,Arabian smooth-hound
79.33249273612049,1.0394060780836154,0.6134231901147772,76.69150651470551,0.24993885742865554,1.083118820843672,2.640986221414977,4.15864137980894,2.276793705269597,-0.0005697281845654933,2,1.289344935512271,Arabian smooth-hound
79.43543109714741,1.0092649430146747,0.557887360518618,76.70217669982284,0.29116962645605904,1.5711620028233328,2.733254397324572,3.4662438964963296,2.558091379934842,-0.00026493215537598536,2,1.3004345694707338,Arabian smooth-hound
79.35037548499646,0.9848792445416197,0.5613607622372332,76.71827517294831,0.28519592131520133,1.68269580461936,2.632100312048152,3.4533426619372256,2.5887718460924694,-0.010110392195746665,2,1.270075165856821,Arabian smooth-hound
76.90316474509288,0.9782341509208057,1.390473125029754,79.42952045646079,0.6445791502002717,0.47883751028495025,-2.5263557113679127,1.5176323188536809,4.183204073095217,0.044127098245066665,2,1.6228133011210772,Atlantic Sharpnose shark
76.88535242534444,0.9792278066740235,1.2982249737334535,79.43045779447924,0.6998084986614158,0.4767295197078761,-2.5451053691348022,1.3992796717213316,4.022830975543385,0.06426393419938348,2,1.6790363053354393,Atlantic Sharpnose shark
77.18798691755043,0.9364521201014463,1.3424873423976242,79.4978117652134,0.5350039483480884,0.4724856657230028,-2.3098248476629664,1.7503648753294803,3.7849004451919965,-0.009703015440020502,2,1.4714560684495348,Atlantic Sharpnose shark
77.1922950694598,0.9689450740187209,1.5606464754726828,79.55825465168915,0.5513210595963245,0.4468653809162244,-2.365959582229351,1.7574969364868493,4.408023657527744,0.014974989740807132,2,1.5202661336150454,Atlantic Sharpnose shark
