Start Worksheet - General Information
,,,
General Information,,,
,,,
1,1.459945,1.504717,1.9427,2.071175,1.543649,1.504717,1.607886,1.504717,1.714949,1.658498,2.384577,2.993861,2.189918,2.141253,1.802546,1.888196,2.337859,1.966059,1.559221,1.522236,1.85121,1.901822,1.644871,1.664337,1.568954,1.50277,2.219117,2.043923,1.67407,1.654604,1.465785,2.267781,0.706613,0.722186,0.743599,0.753332,0.755278,0.768904,0.765011,0.803943,0.704667,0.70856,0.70856,0.687147,0.689094,0.710507,0.731919,0.792264
2,1.477464,1.530022,2.016671,2.158772,1.565061,1.526129,1.631245,1.522236,1.757774,1.697429,2.421562,3.025006,2.219117,2.168505,1.827851,1.907662,2.372897,1.991365,1.592313,1.549488,1.901822,1.956326,1.666284,1.683803,1.58842,1.522236,2.250262,2.065336,1.693536,1.677964,1.477464,2.699925,0.716346,0.726079,0.751385,0.763065,0.765011,0.778637,0.772798,0.813676,0.710507,0.710507,0.712453,0.692987,0.694934,0.716346,0.739706,0.801996
3,1.469678,1.524183,2.043923,2.201597,1.559221,1.520289,1.631245,1.51445,1.767507,1.707162,2.409883,3.007487,2.21133,2.164612,1.822011,1.901822,2.370951,1.987472,1.6001,1.555328,1.917395,1.979686,1.662391,1.67991,1.590367,1.51445,2.242476,2.061442,1.68575,1.676017,1.479411,3.350087,0.7144,0.728026,0.753332,0.763065,0.765011,0.778637,0.774744,0.809783,0.710507,0.712453,0.70856,0.694934,0.692987,0.7144,0.739706,0.80005
4,1.469678,1.531969,2.080908,2.244422,1.563115,1.520289,1.631245,1.516396,1.785026,1.724682,2.413776,3.009433,2.215223,2.164612,1.823958,1.905715,2.372897,1.987472,1.611779,1.567008,1.940754,2.004991,1.666284,1.681857,1.590367,1.518343,2.240529,2.061442,1.687696,1.676017,1.481358,4.321437,0.7144,0.728026,0.753332,0.761118,0.766958,0.776691,0.774744,0.811729,0.712453,0.7144,0.712453,0.694934,0.694934,0.7144,0.739706,0.801996
5,1.477464,1.528076,2.115947,2.29114,1.565061,1.526129,1.635138,1.518343,1.800599,1.736361,2.419616,3.01722,2.21717,2.168505,1.827851,1.907662,2.38263,1.993312,1.621512,1.578687,1.962166,2.026404,1.670177,1.689643,1.59426,1.518343,2.248315,2.061442,1.693536,1.681857,1.481358,5.578937,0.7144,0.728026,0.751385,0.761118,0.765011,0.776691,0.774744,0.815623,0.710507,0.7144,0.7144,0.691041,0.694934,0.72024,0.735812,0.801996
6,1.477464,1.531969,2.149039,2.335912,1.568954,1.526129,1.637085,1.520289,1.814225,1.749987,2.419616,3.01722,2.221063,2.172398,1.829798,1.909608,2.38847,1.997205,1.633192,1.590367,1.985525,2.049763,1.672124,1.689643,1.596207,1.520289,2.248315,2.065336,1.695483,1.683803,1.487197,6.976591,0.7144,0.728026,0.751385,0.761118,0.765011,0.778637,0.776691,0.813676,0.7144,0.716346,0.710507,0.694934,0.69688,0.716346,0.739706,0.801996
7,1.477464,1.535862,2.182131,2.374844,1.568954,1.530022,1.639032,1.522236,1.831744,1.761667,2.423509,3.021113,2.221063,2.172398,1.831744,1.913501,2.38847,1.997205,1.646818,1.6001,2.003045,2.069229,1.676017,1.693536,1.598153,1.524183,2.250262,2.065336,1.697429,1.687696,1.489144,8.430696,0.716346,0.728026,0.751385,0.761118,0.766958,0.778637,0.776691,0.813676,0.710507,0.712453,0.712453,0.694934,0.69688,0.7144,0.739706,0.803943
8,1.479411,1.533916,2.215223,2.417669,1.570901,1.530022,1.637085,1.520289,1.843424,1.775293,2.421562,3.025006,2.22301,2.172398,1.835638,1.913501,2.39431,1.999151,1.656551,1.609833,2.024457,2.090641,1.67991,1.697429,1.603993,1.526129,2.252209,2.065336,1.699376,1.687696,1.487197,9.896481,0.7144,0.726079,0.751385,0.761118,0.763065,0.780584,0.774744,0.813676,0.712453,0.7144,0.710507,0.692987,0.694934,0.7144,0.739706,0.80005
9,1.483304,1.535862,2.254155,2.46828,1.574794,1.533916,1.644871,1.522236,1.860943,1.792813,2.427402,3.026953,2.224956,2.178238,1.839531,1.917395,2.402096,2.006938,1.668231,1.621512,2.049763,2.115947,1.67991,1.697429,1.603993,1.526129,2.252209,2.069229,1.703269,1.69159,1.491091,11.366159,0.712453,0.726079,0.753332,0.761118,0.765011,0.780584,0.774744,0.813676,0.712453,0.7144,0.712453,0.69688,0.698827,0.716346,0.737759,0.801996
10,1.485251,1.535862,2.287247,2.509159,1.576741,1.533916,1.639032,1.524183,1.872623,1.800599,2.429349,3.028899,2.219117,2.176291,1.835638,1.917395,2.404043,2.004991,1.67991,1.633192,2.071175,2.13736,1.683803,1.701323,1.602046,1.528076,2.256102,2.063389,1.703269,1.69159,1.491091,12.808585,0.712453,0.726079,0.753332,0.763065,0.763065,0.778637,0.776691,0.817569,0.712453,0.7144,0.7144,0.692987,0.69688,0.716346,0.735812,0.80005
