Start Worksheet - General Information
,,,
General Information,,,
,,,
File Exported,3/4/2025 12:43:04 AM,,
mic Software Version,2.12.7,,
mic File,C:\Users\human\Dropbox\micrun\micrun_files_second_batch_new_modified\DNAID_Pglauca_TW.micrun,,
File Status,Completed,,
Operator,17863,,
Run ID,5815247a-15b7-4eac-96c7-634379d124fe,,
,,,
mic Name,Sherlock,,
mic Serial,M0007561,,
mic Firmware,2.28,,
,,,
Start Time,11/4/2024 2:13:28 PM,,
End Time,11/4/2024 3:51:53 PM,,
,,,
Log,,,
11/4/2024 2:13:28 PM,"Run started via Bluetooth on ""Sherlock"" S/N M0007561 F/W v2.28 S/W v2.12.7",17863,Information
11/4/2024 2:26:41 PM,"Autogain completed for Green using Sample: 31, Detector gain: 38x, LED power: 750, Scale: 1.50",17863,Information
11/4/2024 3:33:35 PM,Communications restored,17863,Warning
11/4/2024 3:44:36 PM,"Autogain completed for Green using Sample: 31, Detector gain: 38x, LED power: 750, Scale: 1.50",17863,Information
11/4/2024 3:51:53 PM,Run complete,17863,Information
11/4/2024 3:51:53 PM,"Sample:1 ""TW9"" 
	Name changed from """" to ""TW9"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:2 ""TW8"" 
	Name changed from """" to ""TW8"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:3 ""TW7"" 
	Name changed from """" to ""TW7"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:4 ""TW6"" 
	Name changed from """" to ""TW6"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:5 ""TW4"" 
	Name changed from """" to ""TW4"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:6 ""TW41"" 
	Name changed from """" to ""TW41"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:7 ""TW38"" 
	Name changed from """" to ""TW38"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:8 ""TW27"" 
	Name changed from """" to ""TW27"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:9 ""TW29"" 
	Name changed from """" to ""TW29"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:10 ""TW13"" 
	Name changed from """" to ""TW13"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:11 ""TW15"" 
	Name changed from """" to ""TW15"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:12 ""TW31"" 
	Name changed from """" to ""TW31"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:13 ""TW48"" 
	Name changed from """" to ""TW48"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:14 ""TW40"" 
	Name changed from """" to ""TW40"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:15 ""TW34"" 
	Name changed from """" to ""TW34"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:16 ""TW44"" 
	Name changed from """" to ""TW44"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:17 ""TW32"" 
	Name changed from """" to ""TW32"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:18 ""TW43"" 
	Name changed from """" to ""TW43"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:19 ""TW5"" 
	Name changed from """" to ""TW5"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:20 ""TW11"" 
	Name changed from """" to ""TW11"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:21 ""TW19"" 
	Name changed from """" to ""TW19"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:22 ""TW47"" 
	Name changed from """" to ""TW47"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:23 ""TW27"" 
	Name changed from """" to ""TW27"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:24 ""TW3"" 
	Name changed from """" to ""TW3"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:25 ""TW10"" 
	Name changed from """" to ""TW10"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:26 ""TW17"" 
	Name changed from """" to ""TW17"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:27 ""TW18"" 
	Name changed from """" to ""TW18"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:28 ""TW26"" 
	Name changed from """" to ""TW26"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:29 ""TW16"" 
	Name changed from """" to ""TW16"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:30 ""TW2"" 
	Name changed from """" to ""TW2"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:31 ""DNAID_PC"" 
	Name changed from """" to ""DNAID_PC"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:51:53 PM,"Sample:32 ""Negative Control"" 
	Name changed from """" to ""Negative Control"" 
	Assay changed from """" to ""DNAID""",17863,Information
11/4/2024 3:58:13 PM,"Cycling ""DNAID-Elasmo"" added",17863,Information
11/4/2024 3:58:13 PM,"MeltAnalysis ""DNAID-Elasmo"" added
	Threshold Starting At  changed from ""70.00"" to ""60.00"" 
	Threshold  changed from ""0.100"" to ""0.000"" 
	 Samples selected: 28",17863,Information
11/4/2024 3:58:13 PM,"HighResolutionMelt ""DNAID-Elasmo"" added
	Normalisation Start Low Temperature  changed from ""0.00"" to ""64.00"" 
	Normalisation Start High Temperature  changed from ""0.00"" to ""66.00"" 
	Normalisation End Low Temperature  changed from ""0.00"" to ""86.00"" 
	Normalisation End High Temperature  changed from ""0.00"" to ""88.00"" 
	 Sample ""PC"" Well ""31: DNAID_PC"" added to Genotypes 
	 Samples selected: 31",17863,Information
2/17/2025 8:22:05 PM,"MeltAnalysis ""DNAID-Elasmo"" 
	 Samples selected: 6 Samples de-selected: 28",17863,Information
2/17/2025 8:22:05 PM,"HighResolutionMelt ""DNAID-Elasmo"" 
	 Samples selected: 6",17863,Information
3/4/2025 12:43:01 AM,"MeltAnalysis ""DNAID-Elasmo"" 
	 Samples de-selected: 6,17,18,29,30,31,32",human,Information
3/4/2025 12:43:01 AM,"HighResolutionMelt ""DNAID-Elasmo"" 
	 Samples de-selected: 6,17,18,29,30,31,32",human,Information
,,,
End Worksheet


Start Worksheet - Profile
,
Temperature Control,Standard TAQ
Reaction Volume,20µl
,
Logical Profile,Hold at 95°C for 10:00
,Cycle 35 times acquiring on Green
,   Hold at 95°C for 00:15
,   Hold at 56°C for 00:30
,   Hold at 72°C for 00:30
,   Acquire Data
,Hold at 72°C for 05:00
,Hold at 95°C for 00:15
,Hold at 60°C for 01:00
,Melt from 60°C to 95°C at 0.1°C/s acquiring on Green
,
End Worksheet


Start Worksheet - Samples
,,,,,
Well,Name,Type,Groups,Assay,Standards Concentration (Copies/µL)
1,TW9,Unknown,,DNAID,
2,TW8,Unknown,,DNAID,
3,TW7,Unknown,,DNAID,
4,TW6,Unknown,,DNAID,
5,TW4,Unknown,,DNAID,
6,TW41,Unknown,,DNAID,
7,TW38,Unknown,,DNAID,
8,TW27,Unknown,,DNAID,
9,TW29,Unknown,,DNAID,
10,TW13,Unknown,,DNAID,
11,TW15,Unknown,,DNAID,
12,TW31,Unknown,,DNAID,
13,TW48,Unknown,,DNAID,
14,TW40,Unknown,,DNAID,
15,TW34,Unknown,,DNAID,
16,TW44,Unknown,,DNAID,
17,TW32,Unknown,,DNAID,
18,TW43,Unknown,,DNAID,
19,TW5,Unknown,,DNAID,
20,TW11,Unknown,,DNAID,
21,TW19,Unknown,,DNAID,
22,TW47,Unknown,,DNAID,
23,TW27,Unknown,,DNAID,
24,TW3,Unknown,,DNAID,
25,TW10,Unknown,,DNAID,
26,TW17,Unknown,,DNAID,
27,TW18,Unknown,,DNAID,
28,TW26,Unknown,,DNAID,
29,TW16,Unknown,,DNAID,
30,TW2,Unknown,,DNAID,
31,DNAID_PC,Unknown,,DNAID,
32,Negative Control,Unknown,,DNAID,
33,,Unknown,,,
