Start Worksheet - General Information
,,,
General Information,,,
,,,
4,1.686885,1.93637,1.808194,1.833371,1.888304,1.71664,1.75555,2.133211,1.769284,1.892882,1.810483,1.81735,1.746395,1.725795,1.778439,1.922637,1.75555,2.018769,1.85626,1.815061,1.918059,1.810483,1.785306,1.757839,1.821927,1.778439,1.702907,1.810483,2.867933,1.748684,4.486152,1.702907,0.883497,0.87892,0.906386,0.91783,0.885786,0.940719,0.920119,0.979629,0.849165,0.840009,0.842298,0.826276,0.851453,0.85832,0.876631,0.943008
5,1.693751,1.954681,1.808194,1.844816,1.906615,1.723507,1.760128,2.165255,1.77615,1.902037,1.812772,1.819638,1.748684,1.730373,1.780728,1.934081,1.760128,2.050813,1.863127,1.815061,1.938659,1.812772,1.787594,1.757839,1.828794,1.794461,1.698329,1.824216,2.980087,1.748684,5.804532,1.707485,0.87892,0.883497,0.906386,0.915541,0.892653,0.940719,0.922408,0.984207,0.846876,0.842298,0.844587,0.823987,0.856031,0.85832,0.872053,0.952163
6,1.686885,1.959258,1.803616,1.849393,1.911192,1.718929,1.757839,2.192721,1.773861,1.911192,1.805905,1.815061,1.748684,1.723507,1.778439,1.950103,1.753262,2.085145,1.865415,1.810483,1.95697,1.81735,1.780728,1.760128,1.828794,1.794461,1.69604,1.837949,3.087663,1.750973,7.294575,1.707485,0.87892,0.87892,0.910964,0.915541,0.885786,0.940719,0.920119,0.979629,0.846876,0.840009,0.842298,0.823987,0.853742,0.853742,0.876631,0.943008
7,1.693751,1.97528,1.810483,1.85626,1.931792,1.728084,1.757839,2.231632,1.783017,1.924926,1.819638,1.819638,1.753262,1.732662,1.778439,1.968414,1.762417,2.124056,1.879149,1.810483,1.982147,1.81735,1.785306,1.769284,1.83566,1.815061,1.700618,1.849393,3.211261,1.753262,8.885328,1.709773,0.876631,0.885786,0.906386,0.915541,0.892653,0.940719,0.922408,0.979629,0.849165,0.849165,0.840009,0.821698,0.856031,0.856031,0.876631,0.945296
8,1.693751,1.989014,1.810483,1.867704,1.943236,1.725795,1.764706,2.268254,1.785306,1.940948,1.812772,1.821927,1.753262,1.732662,1.783017,1.986725,1.764706,2.172122,1.879149,1.812772,1.998169,1.826505,1.785306,1.771572,1.83566,1.821927,1.705196,1.860838,3.341726,1.760128,10.46006,1.714351,0.87892,0.881209,0.908675,0.915541,0.888075,0.940719,0.922408,0.97734,0.849165,0.842298,0.83772,0.821698,0.851453,0.85832,0.876631,0.945296
9,1.69604,2.007324,1.808194,1.872282,1.961547,1.732662,1.764706,2.309453,1.792172,1.954681,1.810483,1.824216,1.753262,1.734951,1.783017,2.005035,1.771572,2.224765,1.890593,1.81735,2.023346,1.831083,1.787594,1.771572,1.840238,1.837949,1.702907,1.879149,3.485924,1.764706,12.05539,1.714351,0.87892,0.881209,0.906386,0.915541,0.888075,0.940719,0.920119,0.981918,0.842298,0.840009,0.840009,0.823987,0.853742,0.860609,0.876631,0.943008
10,1.693751,2.023346,1.812772,1.881437,1.982147,1.732662,1.764706,2.359808,1.794461,1.972992,1.812772,1.824216,1.75555,1.734951,1.783017,2.027924,1.771572,2.284276,1.899748,1.815061,2.048524,1.83566,1.785306,1.77615,1.842527,1.849393,1.705196,1.895171,3.636988,1.769284,13.604944,1.71664,0.876631,0.881209,0.906386,0.913252,0.888075,0.943008,0.920119,0.979629,0.846876,0.844587,0.83772,0.823987,0.853742,0.856031,0.874342,0.943008
11,1.698329,2.046235,1.815061,1.899748,2.009613,1.73724,1.766995,2.421607,1.803616,1.998169,1.81735,1.826505,1.760128,1.739528,1.787594,2.057679,1.77615,2.366674,1.911192,1.821927,2.087434,1.844816,1.794461,1.780728,1.849393,1.872282,1.707485,1.920348,3.820096,1.77615,15.175097,1.723507,0.87892,0.881209,0.908675,0.91783,0.890364,0.943008,0.922408,0.979629,0.846876,0.842298,0.840009,0.823987,0.853742,0.853742,0.874342,0.943008
12,1.693751,2.069123,1.815061,1.899748,2.034791,1.73724,1.764706,2.485695,1.803616,2.018769,1.815061,1.821927,1.757839,1.73724,1.783017,2.087434,1.773861,2.453651,1.922637,1.81735,2.117189,1.849393,1.789883,1.778439,1.853971,1.881437,1.707485,1.950103,4.007782,1.778439,16.64683,1.718929,0.87892,0.883497,0.906386,0.91783,0.890364,0.940719,0.924697,0.975051,0.846876,0.844587,0.835431,0.826276,0.853742,0.851453,0.87892,0.943008
13,1.702907,2.101167,1.821927,1.922637,2.066835,1.753262,1.766995,2.579538,1.819638,2.053101,1.821927,1.831083,1.762417,1.746395,1.789883,2.130922,1.780728,2.579538,1.934081,1.826505,2.176699,1.858549,1.803616,1.789883,1.860838,1.913481,1.709773,1.986725,4.241245,1.785306,18.125429,1.723507,0.874342,0.883497,0.904097,0.910964,0.890364,0.93843,0.920119,0.981918,0.844587,0.840009,0.842298,0.821698,0.851453,0.860609,0.872053,0.943008
