Start Worksheet - General Information
,,,
General Information,,,
2,1.611353,1.732662,1.828794,1.723507,1.771572,1.705196,1.705196,1.725795,1.824216,1.753262,1.769284,1.675441,1.808194,1.714351,1.787594,1.698329,1.721218,1.689174,1.748684,1.693751,1.812772,1.867704,1.728084,1.707485,1.769284,1.805905,1.734951,1.693751,1.732662,1.652552,3.188373,1.65713,0.867475,0.876631,0.881209,0.904097,0.821698,0.883497,0.828565,0.814832,0.810254,0.826276,0.835431,0.906386,0.79881,0.810254,0.823987,0.91783
3,1.613642,1.741817,1.840238,1.725795,1.780728,1.714351,1.709773,1.730373,1.83566,1.75555,1.77615,1.680018,1.812772,1.723507,1.792172,1.707485,1.723507,1.693751,1.760128,1.691463,1.819638,1.874571,1.728084,1.712062,1.77615,1.81735,1.744106,1.69604,1.741817,1.65713,4.028382,1.663996,0.867475,0.87892,0.881209,0.906386,0.826276,0.883497,0.830854,0.814832,0.810254,0.828565,0.840009,0.908675,0.801099,0.812543,0.826276,0.915541
4,1.618219,1.746395,1.837949,1.734951,1.783017,1.718929,1.714351,1.734951,1.837949,1.760128,1.778439,1.684596,1.815061,1.723507,1.79675,1.709773,1.725795,1.693751,1.762417,1.691463,1.81735,1.87686,1.730373,1.709773,1.785306,1.821927,1.744106,1.698329,1.739528,1.663996,5.20943,1.666285,0.872053,0.876631,0.883497,0.906386,0.826276,0.883497,0.828565,0.814832,0.810254,0.826276,0.842298,0.901808,0.79881,0.814832,0.821698,0.913252
5,1.622797,1.753262,1.847105,1.73724,1.792172,1.725795,1.725795,1.741817,1.844816,1.769284,1.785306,1.689174,1.821927,1.734951,1.803616,1.714351,1.732662,1.700618,1.766995,1.700618,1.826505,1.879149,1.739528,1.71664,1.789883,1.837949,1.748684,1.705196,1.746395,1.666285,6.681163,1.666285,0.869764,0.883497,0.87892,0.906386,0.828565,0.881209,0.830854,0.817121,0.810254,0.828565,0.840009,0.906386,0.801099,0.812543,0.823987,0.915541
6,1.622797,1.762417,1.844816,1.741817,1.794461,1.730373,1.730373,1.744106,1.847105,1.77615,1.787594,1.693751,1.826505,1.734951,1.810483,1.71664,1.739528,1.707485,1.771572,1.700618,1.828794,1.888304,1.739528,1.721218,1.79675,1.842527,1.753262,1.707485,1.750973,1.675441,8.253605,1.670863,0.869764,0.881209,0.881209,0.910964,0.823987,0.885786,0.833143,0.812543,0.814832,0.826276,0.83772,0.908675,0.801099,0.812543,0.826276,0.915541
7,1.625086,1.769284,1.851682,1.750973,1.801328,1.734951,1.73724,1.753262,1.851682,1.783017,1.79675,1.69604,1.833371,1.739528,1.812772,1.725795,1.741817,1.712062,1.77615,1.702907,1.83566,1.888304,1.746395,1.723507,1.805905,1.849393,1.757839,1.714351,1.757839,1.680018,9.853513,1.677729,0.872053,0.87892,0.883497,0.910964,0.823987,0.885786,0.826276,0.814832,0.812543,0.828565,0.835431,0.908675,0.79881,0.810254,0.826276,0.913252
8,1.625086,1.771572,1.853971,1.750973,1.803616,1.73724,1.741817,1.753262,1.853971,1.787594,1.794461,1.698329,1.83566,1.744106,1.815061,1.730373,1.744106,1.714351,1.778439,1.702907,1.83566,1.890593,1.748684,1.725795,1.810483,1.85626,1.760128,1.714351,1.762417,1.682307,11.435111,1.684596,0.867475,0.87892,0.881209,0.910964,0.823987,0.881209,0.833143,0.812543,0.810254,0.828565,0.83772,0.910964,0.79881,0.812543,0.828565,0.913252
9,1.631952,1.77615,1.858549,1.75555,1.808194,1.746395,1.741817,1.757839,1.863127,1.789883,1.803616,1.705196,1.833371,1.748684,1.819638,1.732662,1.748684,1.71664,1.783017,1.709773,1.840238,1.895171,1.753262,1.732662,1.81735,1.863127,1.766995,1.71664,1.769284,1.686885,13.012131,1.686885,0.869764,0.87892,0.883497,0.906386,0.826276,0.881209,0.826276,0.817121,0.807965,0.826276,0.840009,0.906386,0.801099,0.812543,0.823987,0.915541
10,1.63653,1.783017,1.863127,1.762417,1.812772,1.753262,1.750973,1.764706,1.869993,1.803616,1.803616,1.709773,1.844816,1.750973,1.826505,1.739528,1.750973,1.721218,1.792172,1.712062,1.847105,1.904326,1.757839,1.739528,1.826505,1.872282,1.773861,1.721218,1.773861,1.69604,14.559396,1.691463,0.872053,0.87892,0.885786,0.910964,0.823987,0.885786,0.828565,0.814832,0.812543,0.828565,0.835431,0.906386,0.796521,0.812543,0.823987,0.913252
11,1.638819,1.789883,1.869993,1.764706,1.821927,1.762417,1.75555,1.771572,1.879149,1.808194,1.819638,1.71664,1.849393,1.760128,1.833371,1.746395,1.757839,1.728084,1.79675,1.718929,1.853971,1.911192,1.764706,1.746395,1.83566,1.886015,1.77615,1.725795,1.778439,1.698329,16.065461,1.693751,0.872053,0.881209,0.881209,0.908675,0.826276,0.881209,0.828565,0.817121,0.812543,0.828565,0.83772,0.908675,0.79881,0.812543,0.823987,0.913252
