peak1_mu,peak1_amp,peak1_sigma,peak2_mu,peak2_amp,peak2_sigma,delta_mu_12,amp_ratio_12,total_area,asym_0p5C,best_K,total_amp,Species
79.30112356653966,0.9045945241441695,0.5795128373656875,75.22181991067555,0.16773101760513573,6.581794434691875,4.079303655864109,5.393126045896867,4.081280168932155,0.04142583499249933,2,1.0723255417493052,Arabian smooth-hound
79.31215469748835,0.8906299106905176,0.5726203877214676,75.24310782397636,0.18483348383422105,6.687363516854011,4.069046873511994,4.818552831427337,4.376677096007458,0.04473349287200365,2,1.0754633945247387,Arabian smooth-hound
79.32389625704964,0.8874041762361231,0.5809183114195873,75.27105487557502,0.18147713905695326,7.192888962181284,4.052841381474622,4.8898950961957395,4.564204737047561,0.0417205710594348,2,1.0688813152930763,Arabian smooth-hound
79.29539895589139,0.8821755346360943,0.5912323974464719,75.23571820005208,0.18150168025559774,7.189039301226615,4.0596807558393095,4.860426248028967,4.578089509765386,0.041596297626355305,2,1.063677214891692,Arabian smooth-hound
79.3738309453467,0.8505517993710275,0.5316125354223576,74.9968856689939,0.23364589617894402,8.427937185420005,4.376945276352799,3.640345542723609,6.0693414916126525,0.020721156023774,2,1.0841976955499715,Arabian smooth-hound
79.28341617586247,0.8553020365933063,0.5505851538242997,75.07091227930363,0.22791883678203756,7.480410629678659,4.212503896558843,3.7526605782855267,5.454029817453506,0.023661423297591078,2,1.083220873375344,Arabian smooth-hound
76.84822700915814,0.8890008064678652,2.0326393850384155,79.43416160076936,0.4055874343559244,0.3905607042038807,-2.5859345916112204,2.191884486480011,4.926588790132994,0.041961725023236474,2,1.2945882408237896,Atlantic Sharpnose shark
76.85891047690335,0.9000802235013748,1.7940825894917891,79.4638113206313,0.48815550695035476,0.41486093055949036,-2.604900843727947,1.843839124709646,4.5553830598556235,0.050639220128745,2,1.3882357304517297,Atlantic Sharpnose shark
77.1072665681656,0.8341085866016075,2.088148197774,79.45743144027952,0.29812148065945654,0.36083081384662635,-2.350164872113922,2.79788153124238,4.635542155347936,0.018681703147875095,2,1.1322300672610641,Atlantic Sharpnose shark
77.21077518402743,0.9187786506069866,2.0001065280590105,79.54710832887436,0.3808887620087658,0.3905348076265787,-2.3363331448469324,2.412196790341756,4.979180181954382,-0.0015558796866557145,2,1.2996674126157524,Atlantic Sharpnose shark
