Species,ymax,tmax,auc,centroid,fwhm,decay,auc_left,auc_right,asym,mean,max,min_z,rise_log,std_log
Bull shark,0.056364369,78.37,0.097927543,77.44766272,1.22,0.613670652,0.067415101,0.030512441,-0.37683637,0.009235738,0.068002256,-0.255107665,1.519670753,0.011740133
Bull shark,0.071915472,78.4,0.115273348,77.68719781,1.21,0.625110468,0.076428227,0.038845121,-0.326034655,0.010509528,0.085033902,-1.632415807,1.402068298,0.014261029
Bull shark,0.0713842,78.4,0.11494961,77.71317743,1.21,0.625398318,0.07669931,0.038250299,-0.334485788,0.010405543,0.084266358,0.929622761,1.405052045,0.01413835
Caribbean reef shark,0.113397169,78.64,0.149557622,78.42442091,1.21,0.680215483,0.08633998,0.063217642,-0.154604881,0.012205421,0.127574548,0.59919305,0.770766346,0.020162963
Caribbean reef shark,0.118898774,78.66,0.156969711,78.46308132,1.21,0.686580268,0.090673041,0.06629667,-0.155293467,0.012460197,0.132922681,-0.831475806,0.774327621,0.020909824
Caribbean reef shark,0.113456448,78.62,0.152065663,78.41406971,1.23,0.689713219,0.087737324,0.064328339,-0.153939982,0.012328695,0.127597212,0.52420112,0.776771143,0.020302401
Caribbean reef shark,0.125080266,78.66,0.165044305,78.45629204,1.2,0.688925198,0.094778822,0.070265483,-0.148525811,0.013442037,0.140502741,-1.154063678,0.770382464,0.022134437
Caribbean reef shark,0.127440532,78.68,0.16818634,78.48042898,1.2,0.691859588,0.096809805,0.071376535,-0.151220785,0.01302252,0.141636514,-0.477966298,0.773689191,0.022156237
Caribbean reef shark,0.125937616,78.69,0.167458924,78.48882409,1.21,0.693895479,0.096700727,0.070758196,-0.154918775,0.013316682,0.140709668,0.880412788,0.778697791,0.022129479
Caribbean reef shark,0.123065425,78.67,0.163256272,78.44758164,1.21,0.692926364,0.094091726,0.069164545,-0.152687432,0.013271204,0.138138301,0.839831624,0.773186506,0.021764616
Caribbean reef shark,0.122182379,78.66,0.161291082,78.45969408,1.2,0.689587851,0.092692826,0.068598256,-0.14938563,0.013074897,0.136971797,0.843529685,0.771902068,0.02153826
Caribbean reef shark,0.134516932,78.69,0.177417809,78.50463863,1.2,0.690694472,0.101282385,0.076135424,-0.141738655,0.01433105,0.150824834,0.871811838,0.768357986,0.023729857
Caribbean reef shark,0.116932587,78.39,0.170403186,77.79618035,1.22,0.665087886,0.10548745,0.064915735,-0.23809247,0.012800943,0.130652667,0.607153282,0.803146559,0.020810613
Common thresher shark,0.027358743,76.56,0.073145582,75.69956578,1.56,2.296521609,0.04095905,0.032186532,-0.119932294,0.008218765,0.037073654,-0.033641898,1.862925796,0.007714463
Common thresher shark,0.02379648,76.45,0.072648566,75.5535256,1.69,2.501904904,0.040204116,0.03244445,-0.106811012,0.008371988,0.033582918,-0.351911884,1.872288733,0.007384706
Common thresher shark,0.029541218,76.52,0.076652778,75.76911737,1.53,2.265405329,0.042014606,0.034638173,-0.096231776,0.009538074,0.040881463,-1.146820773,1.85706023,0.008442146
Common thresher shark,0.039316735,76.52,0.100939251,75.63587408,1.44,2.089570521,0.058432489,0.042506761,-0.157775375,0.010149343,0.050470098,0.793080061,1.87159355,0.009708186
Common thresher shark,0.029586147,76.02,0.066875036,74.98633167,1.41,1.766102686,0.039172665,0.027702371,-0.17151832,0.007908768,0.039259914,0.717830451,1.847959561,0.007713003
Common thresher shark,0.030431889,76.45,0.073822334,75.40243934,1.46,1.747964076,0.043824955,0.029997379,-0.187308844,0.008293688,0.040173636,-0.340768952,1.854048773,0.007916369
Common thresher shark,0.016254581,75.67,0.04373768,74.18788956,1.42,1.815005909,0.027460238,0.016277442,-0.255678754,0.004000714,0.020692332,-1.610304052,1.879742874,0.004057024
Common thresher shark,0.016087813,75.75,0.037941324,75.13216771,1.49,1.996774216,0.019557044,0.01838428,-0.030909943,0.005416831,0.023179451,0.7732735,1.830845572,0.004942106
Common thresher shark,0.02946071,76.26,0.07318224,74.95426435,1.4,1.961614109,0.04444253,0.028739709,-0.214571471,0.008057922,0.038909306,1.226066529,1.855067227,0.007688798
Copper shark,0.073341616,78.47,0.128009236,77.88166286,1.34,0.724159488,0.082901307,0.045107929,-0.295239462,0.010645659,0.085573265,-0.011356034,1.373105852,0.014777939
Copper shark,0.070867473,78.43,0.124038165,77.83742712,1.35,0.718457109,0.080593707,0.043444458,-0.299498541,0.010495212,0.083114928,0.182948837,1.371784012,0.01442813
Copper shark,0.075473613,78.41,0.136520374,77.76609269,1.37,0.72776039,0.089893411,0.046626963,-0.31692301,0.011399786,0.088488904,0.215681199,1.393881264,0.015488755
Copper shark,0.078419539,78.55,0.135909522,77.96246828,1.35,0.724896451,0.088434655,0.047474867,-0.301375409,0.011300354,0.091370104,0.565959256,1.364356721,0.015741727
Copper shark,0.063446154,78.39,0.108983646,77.81179831,1.34,0.714451919,0.070773638,0.038210008,-0.298793737,0.009286571,0.074315911,-1.529016365,1.363412754,0.012835631
Copper shark,0.074651351,78.61,0.129960866,78.02282606,1.35,0.719863383,0.084593457,0.045367409,-0.301829695,0.011023856,0.087428545,-1.371643348,1.366052696,0.01514625
Copper shark,0.052830508,78.69,0.092181214,78.04571386,1.32,0.676611956,0.061058285,0.031122929,-0.32474464,0.009328084,0.064835302,-2.690088953,1.388215889,0.011526394
Copper shark,0.052235247,78.74,0.089148014,78.15392155,1.32,0.677720272,0.058287202,0.030860811,-0.307650054,0.008859992,0.063642543,-1.509356055,1.356386777,0.011244538
Copper shark,0.065813567,78.8,0.113625127,78.23025334,1.34,0.693567662,0.073835225,0.039789903,-0.299628462,0.010635845,0.078901327,-0.686896267,1.358016457,0.013829429
Copper shark,0.057454838,78.87,0.099039248,78.25982371,1.34,0.68947238,0.06506049,0.033978757,-0.313832483,0.009458115,0.069138381,-1.214277295,1.351606267,0.012128611
Copper shark,0.06512606,78.75,0.115072867,78.12167758,1.36,0.6999342,0.075780938,0.03929193,-0.317094803,0.010666329,0.078146857,0.731591971,1.369973782,0.013790186
Copper shark,0.069110359,78.69,0.122733328,78.0685147,1.37,0.722935969,0.080457524,0.042275804,-0.311094963,0.01135815,0.082620893,0.707404845,1.376680009,0.014480212
Copper shark,0.060928974,78.75,0.103735347,78.15469586,1.33,0.684366541,0.067721494,0.036013853,-0.305658987,0.009945487,0.073441283,0.841064311,1.348176083,0.012872567
Copper shark,0.055989516,78.86,0.093430026,78.31727055,1.31,0.676199922,0.060713638,0.032716388,-0.29966009,0.009380787,0.067991601,0.647142478,1.334986229,0.011895847
Copper shark,0.060435088,78.83,0.102648232,78.25744699,1.33,0.683432689,0.066602329,0.036045903,-0.297680983,0.009775644,0.072618286,0.328503382,1.352270264,0.012692413
Copper shark,0.03115949,78.82,0.049508122,78.25720512,1.25,0.629526174,0.032086526,0.017421596,-0.296212609,0.006108566,0.040011663,-1.312571881,1.296081788,0.007169113
Dusky shark,0.07858885,77.96,0.143554794,77.68726659,1.69,0.819232513,0.085660018,0.057894776,-0.19341215,0.012124413,0.093036926,1.033628099,0.998164118,0.017368182
Dusky shark,0.079011937,78.05,0.144020128,77.76766242,1.69,0.811736332,0.086716215,0.057303914,-0.204223545,0.011639876,0.092653787,-0.661128238,0.994163291,0.017277577
Dusky shark,0.074757563,78.04,0.136731135,77.72749082,1.7,0.814552052,0.082064673,0.054666462,-0.200380195,0.011128863,0.087933468,0.053412256,0.995443134,0.016425345
Dusky shark,0.083686943,78.02,0.15229677,77.67446968,1.68,0.80853274,0.092043297,0.060253474,-0.20873603,0.012400035,0.098340145,0.828709585,0.991608843,0.018305839
Dusky shark,0.093203711,78.18,0.17294372,77.84399019,1.7,0.825218053,0.104137577,0.068806143,-0.204294401,0.013717578,0.108546311,0.420432569,1.010905493,0.020185755
Dusky shark,0.07623893,78.06,0.139422644,77.76119282,1.69,0.813028414,0.083979971,0.055442673,-0.20468194,0.011045294,0.088705574,0.997441428,1.008251976,0.016429102
Dusky shark,0.066349048,78.13,0.121030166,77.83009646,1.69,0.805491542,0.072878911,0.048151255,-0.204309857,0.010053928,0.078235329,0.462914996,0.993789813,0.014658666
Dusky shark,0.071331396,77.76,0.130724598,77.46457262,1.7,0.813806059,0.079143541,0.051581057,-0.210843901,0.010658133,0.083789303,0.991417281,1.000361718,0.015654375
Dusky shark,0.083074449,78,0.154536543,77.65795954,1.71,0.819819784,0.093929663,0.06060688,-0.215630444,0.012353279,0.097014557,-1.943073778,1.019849306,0.018102421
Dusky shark,0.078632141,78.01,0.14449128,77.69551543,1.69,0.822472538,0.0871089,0.057382381,-0.205732268,0.011997549,0.092336234,-1.36677528,1.006568476,0.017137307
Finetooth shark,0.036929836,76.83,0.0895591,76.75752281,1.94,1.970315749,0.046231061,0.043328039,-0.032414587,0.008972984,0.048376634,-1.017423479,1.179344153,0.010275466
Finetooth shark,0.053031076,77.07,0.124085169,77.12012697,1.89,2.064578622,0.060659043,0.063426127,0.022299875,0.010809026,0.065461616,-0.131731732,1.037455613,0.013220057
Finetooth shark,0.038359927,76.9,0.088795244,76.85025903,1.85,1.988465247,0.044144766,0.044650478,0.005695258,0.008256066,0.048343902,2.911915485,1.062297441,0.009774054
Finetooth shark,0.037291411,76.99,0.086845604,76.8984099,1.86,1.990745463,0.043033709,0.043811895,0.008960571,0.007948982,0.046945689,1.839805278,1.066882393,0.009540877
Finetooth shark,0.047082002,76.95,0.107631947,76.94770585,1.86,2.006841102,0.052782047,0.0548499,0.019212264,0.009676002,0.058603652,1.080908951,1.019452443,0.011833061
Finetooth shark,0.035617452,77,0.085182786,76.92774331,1.91,2.01566621,0.042630255,0.042552532,-0.000912422,0.007727046,0.044786288,0.437146966,1.106141346,0.009164453
Finetooth shark,0.052874189,77.07,0.120135023,77.05047156,1.85,1.998075991,0.058888716,0.061246308,0.019624522,0.010675344,0.065732239,1.347803058,1.007484345,0.013242631
Great hammerhead shark,0.054879497,76.53,0.134728607,76.71105441,2.46,1.801191148,0.0571142,0.077614407,0.152159278,0.011145801,0.067673115,-1.214235509,0.974375885,0.014420131
Great hammerhead shark,0.050956569,76.49,0.126642605,76.57620984,2.44,1.791220099,0.056891373,0.069751232,0.101544491,0.010474551,0.063006868,-1.312530095,1.045433756,0.01343231
Great hammerhead shark,0.063492719,76.65,0.15522976,76.74106499,2.44,1.814278646,0.068592425,0.086637335,0.116246456,0.01239623,0.077311142,0.251199294,0.974327706,0.016284283
Great hammerhead shark,0.05731005,76.65,0.137993496,76.77751352,2.41,1.772229658,0.060004058,0.077989438,0.130334986,0.010874864,0.069564716,0.64425228,0.955178382,0.014662644
Great hammerhead shark,0.05842916,76.57,0.141720154,76.72449067,2.45,1.781558504,0.060479191,0.081240963,0.146498375,0.011860356,0.072261299,0.770132586,0.947885753,0.015377054
Great hammerhead shark,0.062256015,76.5,0.150700923,76.65683221,2.44,1.805294783,0.06457603,0.086124892,0.142990908,0.012142722,0.076095366,0.896402895,0.961277578,0.016067421
Great hammerhead shark,0.063267543,76.51,0.150338724,76.68381675,2.4,1.774301909,0.06313196,0.087206763,0.160137073,0.011805839,0.076711259,-0.535073823,0.929623065,0.016132183
Great hammerhead shark,0.063889737,76.5,0.152669988,76.65180892,2.41,1.779899556,0.065863613,0.086806375,0.13717668,0.012247907,0.078042479,-1.361809711,0.952295157,0.016442388
Great hammerhead shark,0.0640015,76.51,0.15571269,76.68413487,2.45,1.788661131,0.065925222,0.089787468,0.153245349,0.012193741,0.077717577,0.770954378,0.961505338,0.016459867
Great hammerhead shark,0.056414462,76.51,0.13522364,76.67927194,2.41,1.781900896,0.058294051,0.076929589,0.137812718,0.011143543,0.06951544,0.148823609,0.956227552,0.014731697
Great hammerhead shark,0.059740778,76.52,0.143836528,76.67589778,2.42,1.792625581,0.06122951,0.082607017,0.148623631,0.011293836,0.072420484,0.605335591,0.945261307,0.015247498
Great hammerhead shark,0.062742219,76.59,0.151006107,76.7290613,2.41,1.775042248,0.065457733,0.085548373,0.133045214,0.012109724,0.076517755,0.455950663,0.953158187,0.016150178
Great hammerhead shark,0.052130106,76.65,0.12709871,76.85175399,2.46,1.745323848,0.05246458,0.07463413,0.174427812,0.010606459,0.064354396,-1.431432141,0.921207917,0.013812474
Great hammerhead shark,0.058515757,76.61,0.137199894,76.7598966,2.36,1.718100927,0.057698161,0.079501733,0.158918289,0.011116909,0.0716842,0.296467454,0.911719859,0.0151008
Great hammerhead shark,0.057578908,76.56,0.137460471,76.73305602,2.42,1.770083178,0.058720598,0.078739873,0.145636593,0.010881528,0.070061693,-1.607734213,0.943729847,0.014785425
Great hammerhead shark,0.048747336,76.43,0.11509348,76.60748886,2.39,1.761030976,0.048666788,0.066426692,0.154308515,0.009547029,0.05996931,-0.607502879,0.928223324,0.012667666
Great hammerhead shark,0.059079997,76.69,0.142929786,76.86049018,2.43,1.772860779,0.060768747,0.082161039,0.149669939,0.011786206,0.072655021,-0.820611448,0.940718905,0.015481624
Great hammerhead shark,0.060208436,76.57,0.143944158,76.70894882,2.4,1.764837996,0.062242916,0.081701242,0.135179687,0.011690182,0.073867441,0.463611429,0.959393165,0.015600179
Great hammerhead shark,0.053526202,76.67,0.126096391,76.82474274,2.37,1.716402726,0.053616606,0.072479785,0.149593324,0.01062971,0.066235813,0.768489004,0.939685627,0.014011678
Great hammerhead shark,0.056498824,76.66,0.141571494,76.75654642,2.48,1.786691501,0.061499533,0.080071961,0.131187625,0.011922291,0.070037498,0.669289055,0.994249653,0.01506121
Great hammerhead shark,0.063661382,76.52,0.150575509,76.70057379,2.38,1.755621195,0.063814652,0.086760857,0.152390019,0.011947,0.077417637,0.734865208,0.932014856,0.016291861
Great hammerhead shark,0.055775022,76.49,0.13320127,76.66900376,2.41,1.783609731,0.056636515,0.076564755,0.149609983,0.010697242,0.068038047,-1.055615877,0.940467053,0.014339297
Great hammerhead shark,0.054259158,76.62,0.126417555,76.81162865,2.37,1.745088207,0.052320017,0.074097538,0.172266584,0.010477839,0.066815619,-1.394542073,0.892592848,0.014096381
Great hammerhead shark,0.064808782,76.52,0.148326559,76.7329093,2.32,1.718410795,0.060243511,0.088083047,0.187690838,0.012175756,0.07915494,-0.500948595,0.875570767,0.01650278
Great hammerhead shark,0.056126319,76.37,0.133891366,76.55284338,2.41,1.736162464,0.056859526,0.077031839,0.150661792,0.011238805,0.069519151,0.485200859,0.938704995,0.014803381
Great hammerhead shark,0.057583498,76.52,0.137501632,76.71778828,2.42,1.787414071,0.057929733,0.079571899,0.157395697,0.01104385,0.070296582,0.423218301,0.929220373,0.014863699
Great hammerhead shark,0.055884667,76.61,0.131207605,76.76538546,2.38,1.737569774,0.054961112,0.076246493,0.162226732,0.010417366,0.068008613,0.36471791,0.906181338,0.014315115
Great hammerhead shark,0.060002662,76.5,0.14212932,76.62774253,2.39,1.742050654,0.061315039,0.080814281,0.137193661,0.012032382,0.074454845,-0.279482828,0.931243205,0.015808095
Great hammerhead shark,0.050687148,76.36,0.111899813,76.4642341,2.22,1.686180467,0.047397174,0.064502639,0.152864103,0.009727846,0.063091285,-0.738432326,0.868320295,0.013066326
Great hammerhead shark,0.061146204,76.42,0.145331542,76.58369911,2.4,1.769623782,0.061188826,0.084142715,0.157941548,0.011545904,0.074514891,0.631960234,0.934797906,0.015709265
Great hammerhead shark,0.056795263,76.55,0.126996821,76.75442781,2.28,1.676760601,0.051464519,0.075532301,0.18951484,0.011008568,0.070496682,0.766838457,0.836094354,0.014729147
Great hammerhead shark,0.051548179,76.61,0.118674425,76.84159924,2.36,1.695307625,0.04696531,0.071709115,0.208501582,0.010528314,0.064397664,-1.345415673,0.840541449,0.013647725
Great hammerhead shark,0.055371589,76.58,0.131919048,76.75677514,2.39,1.75908707,0.056044974,0.075874074,0.150312634,0.0113409,0.068169975,-0.979245009,0.94057299,0.01427943
Great hammerhead shark,0.050271589,76.55,0.120267419,76.69856151,2.42,1.748909827,0.051812579,0.06845484,0.138377141,0.010626515,0.063232927,-1.598025934,0.945230949,0.013531859
Great hammerhead shark,0.057025738,76.5,0.134917155,76.63954533,2.4,1.748269102,0.058294411,0.076622744,0.135848793,0.011212489,0.070422329,-0.446626803,0.932859896,0.014910155
Great hammerhead shark,0.052702114,76.27,0.12694604,76.42753396,2.42,1.781104195,0.054348439,0.072597601,0.143755266,0.010599105,0.065229493,-0.714057163,0.954513689,0.013896121
Great hammerhead shark,0.0622843,76.48,0.144876206,76.68947459,2.36,1.747087531,0.059890927,0.084985279,0.173212375,0.01162296,0.075761632,0.779569257,0.898363753,0.015856024
Great hammerhead shark,0.062613384,76.62,0.150466389,76.71119846,2.4,1.705490571,0.063235218,0.087231171,0.159477167,0.011271823,0.07488577,-1.31853335,0.930386746,0.015774267
Great hammerhead shark,0.042617029,76.53,0.105914773,76.41217905,2.42,1.766753089,0.046177254,0.059737519,0.128029962,0.008256057,0.051587798,0.556933482,0.944229142,0.010879237
Great hammerhead shark,0.06035538,76.41,0.162860129,76.04714404,2.35,1.672465435,0.08536465,0.077495479,-0.048318588,0.012071448,0.073605708,-1.903021903,1.387946447,0.015715594
Great hammerhead shark,0.073434661,76.47,0.171539442,76.60810134,2.32,1.689898874,0.071661601,0.099877841,0.164488348,0.012808417,0.087720125,-2.477015207,0.902955496,0.018236718
Great white shark,0.026485811,77.97,0.064061731,76.94066756,1.54,1.133188737,0.038446867,0.025614863,-0.200306856,0.008953555,0.037844167,0.409289637,1.88755186,0.007990785
Great white shark,0.029228648,77.87,0.078102879,76.6793619,1.58,2.648798304,0.047568305,0.030534573,-0.218093526,0.008813944,0.039640803,0.731487507,1.912950235,0.008304551
Great white shark,0.025474372,77.86,0.062135562,76.80917355,1.58,1.136163333,0.037610437,0.024525125,-0.210592966,0.008227182,0.035684806,1.215181278,1.881586393,0.007445936
Great white shark,0.043034206,77.77,0.091892629,76.77020819,1.7,0.922351372,0.058717073,0.033175557,-0.277949562,0.009150515,0.053545811,1.291503396,1.761024005,0.010308922
Great white shark,0.035739837,78.01,0.097627988,76.80894019,1.58,2.67120666,0.059514601,0.038113387,-0.219211876,0.010519001,0.047884546,1.029971825,1.918391174,0.009945895
Great white shark,0.019165108,77.68,0.046750987,76.40305589,1.5,1.043851986,0.029345561,0.017405426,-0.255398555,0.00608778,0.026736681,1.545395094,1.898682815,0.005569318
Great white shark,0.028713064,77.68,0.06526084,76.6180161,1.54,1.00127227,0.040418656,0.024842184,-0.238680216,0.007837047,0.038357211,-0.58173485,1.868496315,0.007746359
Great white shark,0.02499037,77.92,0.062141196,76.65881227,1.55,1.059918404,0.039051699,0.023089497,-0.256869897,0.008010919,0.034939119,0.625678406,1.894501282,0.007369638
Grey reef shark,0.061909951,78.55,0.138505976,77.56829052,1.55,0.888623312,0.092041996,0.04646398,-0.329068947,0.012132156,0.075947191,0.4336648,1.649656531,0.014611539
Grey reef shark,0.068788668,78.56,0.142254717,77.75178131,1.51,0.897624545,0.090783808,0.051470909,-0.276355684,0.011828437,0.082022602,0.534647618,1.600658332,0.015148249
Grey reef shark,0.059673106,78.6,0.118791712,77.8222097,1.47,0.868297993,0.075601514,0.043190198,-0.272841558,0.010540687,0.071872994,0.65452467,1.585705663,0.0131728
Grey reef shark,0.048065832,78.54,0.120283529,77.38109614,1.61,0.889474603,0.083562401,0.036721128,-0.389423832,0.010587982,0.060059263,0.774645474,1.693540733,0.01205707
Grey reef shark,0.050159618,78.5,0.10866037,77.49537265,1.52,0.857973638,0.071815814,0.036844556,-0.321840039,0.01002239,0.062279061,-2.886880091,1.633473471,0.011988554
Grey reef shark,0.051038281,78.51,0.125807203,77.42556422,1.61,0.891190257,0.087289822,0.038517381,-0.38767606,0.010836751,0.063239405,0.097983983,1.661554574,0.012635551
Grey reef shark,0.044326754,78.3,0.126808641,77.13450335,1.87,0.935141077,0.088277588,0.038531053,-0.392296095,0.011068391,0.056786521,0.732002867,1.686422634,0.012304104
Grey reef shark,0.043778557,78.94,0.090945292,78.09474462,1.47,0.802852773,0.060368462,0.030576829,-0.327577519,0.009777674,0.056452141,-0.722414362,1.562174825,0.010968462
Grey reef shark,0.036260397,78.67,0.080208528,77.911105,1.67,0.889167964,0.050817736,0.029390791,-0.267140485,0.008609504,0.047558637,0.943565354,1.533605475,0.009694114
Grey reef shark,0.013437331,78.88,0.02461589,77.97045924,1.31,0.669998058,0.016375712,0.008240179,-0.330499238,0.004315577,0.020210846,0.911174244,1.533321172,0.004182479
Grey reef shark,0.04287794,78.9,0.079737005,78.16349876,1.42,0.801107575,0.050255908,0.029481097,-0.260541653,0.00857322,0.054048728,0.901333643,1.564233079,0.010054526
Grey reef shark,0.039588186,78.78,0.074284304,77.98529641,1.43,0.793666118,0.047295929,0.026988375,-0.273376107,0.008295332,0.050706461,0.629097893,1.561111345,0.009570343
Grey reef shark,0.046680096,78.86,0.086804248,78.09919255,1.42,0.80482131,0.054746285,0.032057963,-0.261373405,0.009117301,0.058533537,0.750047452,1.564457215,0.010843096
Grey reef shark,0.011587233,78.82,0.018469602,78.11693795,1.29,0.671302572,0.011315007,0.007154595,-0.225257271,0.003671564,0.017609691,0.8021128,1.538492682,0.003581414
Grey reef shark,0.032150617,78.58,0.061580145,77.76143974,1.44,0.795870497,0.039368303,0.022211842,-0.278603768,0.006979323,0.041609798,-0.427126673,1.582065183,0.007979572
Grey reef shark,0.017982186,78.77,0.030664986,78.01313281,1.34,0.694620693,0.019585365,0.011079621,-0.277376402,0.005176372,0.026130546,-2.050728426,1.514474674,0.005248298
Grey reef shark,0.042132471,78.91,0.09526501,77.71005096,1.47,0.81295422,0.065825221,0.02943979,-0.381939089,0.009682046,0.05398338,1.026796089,1.724660096,0.010584828
Grey reef shark,0.051537966,78.92,0.099567767,78.14226469,1.46,0.834485687,0.062660794,0.036906972,-0.25865622,0.009796228,0.063694584,0.716834551,1.569691599,0.01179585
Gulper shark,0.031738973,79.46,0.061457323,77.13229165,1.31,0.76030559,0.041490578,0.019966745,-0.350224053,0.00914598,0.042807914,0.999690908,2.282752923,0.007902167
Gulper shark,0.026797125,79.48,0.048228404,77.15978693,1.24,0.734940798,0.031883373,0.016345032,-0.322182361,0.007697034,0.036569493,0.871811838,2.275249116,0.006684558
Gulper shark,0.020042153,79.55,0.033887204,77.47727727,1.25,0.682080665,0.022188956,0.011698249,-0.30957724,0.006903213,0.029660254,1.0657476,2.26434293,0.005694269
Gulper shark,0.004453522,79.51,0.005364621,77.57314081,1.11,0.518096421,0.00321559,0.002149031,-0.198813476,0.00280591,0.00946395,0.843529685,3.008632344,0.002110179
Gulper shark,0.016023385,79.26,0.02771556,76.76839066,1.14,0.614062454,0.019145326,0.008570234,-0.381557942,0.005540499,0.023720538,0.607285604,2.227911315,0.004559291
Gulper shark,0.023428487,79.57,0.040158818,76.90908787,1.2,0.692465842,0.026506955,0.013651863,-0.320106337,0.007480904,0.033636253,-0.500948595,2.375463912,0.006301418
Gulper shark,0.027339936,79.47,0.057357038,77.22620806,1.44,0.828118859,0.03924656,0.018110478,-0.368500233,0.008760994,0.037834958,-1.279825591,2.280069361,0.007306017
Gummy shark,0.036392471,77.37,0.121079585,76.56872763,1.63,2.773533534,0.071579105,0.049500479,-0.18234805,0.010915759,0.048452634,0.031822826,1.738953941,0.010763581
Gummy shark,0.043232484,77.34,0.136087713,76.66102429,1.67,2.810260365,0.077583254,0.058504459,-0.140194834,0.011953994,0.056202946,0.261645792,1.707441908,0.01204882
Gummy shark,0.037019376,77.35,0.111666371,76.67115217,1.56,2.743640922,0.065074311,0.046592061,-0.165513126,0.011200014,0.050123944,1.428575384,1.707527725,0.010902031
Gummy shark,0.03707498,77.34,0.117038265,76.47046905,1.62,2.701275735,0.070133208,0.046905057,-0.198466304,0.011089441,0.049650867,0.655346461,1.727651125,0.010884559
Gummy shark,0.038975114,77.36,0.117087847,76.56049437,1.64,2.671278051,0.068278306,0.048809541,-0.166274852,0.010859032,0.051174236,-0.230036068,1.713351778,0.0109189
Gummy shark,0.04441868,77.35,0.131293286,76.88946164,1.62,2.882360697,0.069098057,0.062195229,-0.052575637,0.01184357,0.057391408,0.877508662,1.693667641,0.012007663
Halavi guitarfish,0.066355887,76.89,0.11868861,77.21196698,1.44,1.170319864,0.05504486,0.06364375,0.072449163,0.011974021,0.079238651,-2.099778219,0.786142539,0.013688588
Halavi guitarfish,0.055182616,77.06,0.1007306,77.60316333,1.4,1.056886953,0.044823135,0.055907465,0.11003936,0.010660086,0.066694818,0.104251882,0.780445085,0.011476281
Halavi guitarfish,0.059751257,77.06,0.104319089,77.52843612,1.42,1.031810979,0.047471777,0.056847312,0.089873631,0.012588386,0.074294129,1.004642548,0.777329884,0.012958023
Halavi guitarfish,0.058473138,77.03,0.094802198,77.13916894,1.39,0.982627694,0.046853632,0.047948566,0.011549676,0.01180894,0.072973446,1.061227748,0.751924912,0.012631918
Halavi guitarfish,0.055892763,76.85,0.102237538,77.31955976,1.44,1.160353233,0.045090068,0.05714747,0.117935175,0.011487444,0.068822075,1.095666371,0.771651056,0.012081363
Halavi guitarfish,0.058992663,76.88,0.116602248,77.50343763,1.45,1.216410936,0.049476448,0.0671258,0.151363738,0.012125608,0.071890716,-0.55805612,0.789892774,0.01266499
Halavi guitarfish,0.033908758,77.3,0.046181568,77.2175853,1.29,0.793892338,0.024616298,0.02156527,-0.066065929,0.006654532,0.04318615,-0.923147312,0.708398196,0.007354338
Halavi guitarfish,0.078622407,76.86,0.154746872,77.34774795,1.47,1.250915825,0.067211519,0.087535354,0.131336,0.015047432,0.094065867,-0.078561841,0.795848116,0.016380704
Hooktooth shark,0.0115857,75.68,0.056760023,76.78059503,5.84,3.166924436,0.017907473,0.03885255,0.369011089,0.007292952,0.02138818,-0.64859244,1.004223912,0.006685245
Hooktooth shark,0.020174611,79.53,0.098851157,76.96429639,5.7,0.55810632,0.088081903,0.010769254,-0.782111725,0.009795491,0.031943397,0.737748441,1.226489493,0.009596899
Hooktooth shark,0.019397501,79.21,0.095896894,76.77736731,5.61,0.561466313,0.085363779,0.010533115,-0.780324162,0.009610686,0.031170437,-0.410412275,1.389394052,0.009471674
Hooktooth shark,0.013803323,76.55,0.067699341,76.8404312,5.75,3.014329615,0.031994896,0.035704446,0.054794479,0.00814584,0.024474836,-1.460139119,1.035105841,0.007606846
Hooktooth shark,0.020230744,79.21,0.093355207,76.91688153,5.38,0.581683456,0.082009193,0.011346014,-0.756928104,0.009216001,0.031390316,0.986200996,1.919671034,0.009125866
Hooktooth shark,0.005752097,76.44,0.022417322,76.97273768,5.13,3.066699449,0.009314227,0.013103096,0.169015235,0.00412478,0.012070875,0.71805331,1.052418449,0.003617442
Hooktooth shark,0.010679607,76.51,0.048264319,76.94164743,5.55,3.081480117,0.021566974,0.026697345,0.106297386,0.006553021,0.019735002,0.841057347,1.074119694,0.005989697
Japanese topeshark,0.055561795,78.61,0.103915794,78.18564111,1.33,0.794552113,0.064379552,0.039536241,-0.23907156,0.011329982,0.068820131,1.160859486,1.282117079,0.012217833
Japanese topeshark,0.074612199,78.64,0.143403167,78.27632644,1.32,0.829872619,0.086224601,0.057178565,-0.20254808,0.014243876,0.090478227,1.116580261,1.286056853,0.015830371
Japanese topeshark,0.034066356,78.64,0.057535067,78.12854864,1.28,0.720712865,0.037033866,0.020501201,-0.287349375,0.007845762,0.044470159,0.984968309,1.239968666,0.008033291
Japanese topeshark,0.03522903,78.68,0.060669643,78.16258284,1.29,0.733333517,0.039248581,0.021421062,-0.29384578,0.008126799,0.045816154,-0.082601154,1.247798427,0.008317417
Japanese topeshark,0.027252837,78.66,0.046504024,77.79325797,1.17,0.669330163,0.031236998,0.015267026,-0.343410547,0.006909796,0.036732916,-1.123984727,1.397112157,0.006734837
Japanese topeshark,0.045165117,78.65,0.081534662,78.11093565,1.33,0.755092195,0.052587346,0.028947316,-0.289938414,0.010044737,0.057776416,-0.112199566,1.26407042,0.010495954
