Species,ymax,tmax,auc,centroid,fwhm,decay,auc_left,auc_right,asym,mean,max,min_z,rise_log,std_log
Blacktip reef shark,0.033801234,77.72,0.093247899,77.39643207,2.7,1.833927903,0.048320401,0.044927498,-0.036385831,0.009371861,0.045593509,-1.648809845,1.401535216,0.010273661
Blacktip reef shark,0.03914822,77.63,0.123347944,77.53905481,3,1.874632421,0.058434381,0.064913563,0.052527686,0.010289712,0.050369782,-2.001330417,1.432368977,0.011841412
Blacktip reef shark,0.035025105,77.66,0.107486854,77.4792815,3.04,1.859814925,0.054415501,0.053071353,-0.012505232,0.009946322,0.046692429,-0.623520844,1.422476492,0.010978792
Blacktip reef shark,0.05264398,77.77,0.152036325,77.70349282,2.88,1.803321846,0.071778057,0.080258268,0.055777535,0.012221829,0.065524961,0.620907838,1.140807609,0.01476027
Blacktip reef shark,0.037645516,77.72,0.102328972,77.77357071,2.9,1.91321884,0.046744418,0.055584555,0.086389388,0.009487022,0.049144647,-0.10725489,1.072489378,0.011092835
Blacktip shark,0.038775225,77.88,0.097379917,77.64537522,2.31,1.425247299,0.051310207,0.046069709,-0.053814978,0.009445445,0.050929106,-1.678860939,1.211636095,0.011141712
Blacktip shark,0.052334119,77.84,0.138118555,77.61408629,2.42,1.477844676,0.072254918,0.065863637,-0.046273875,0.012897578,0.067400724,-1.367255819,1.237793474,0.014649595
Blacktip shark,0.048139917,77.9,0.125413303,77.68101111,2.39,1.462247567,0.065954136,0.059459167,-0.051788521,0.011262276,0.0615177,-0.218196704,1.240991434,0.013412627
Blacktip shark,0.048216007,77.93,0.126283109,77.72437544,2.41,1.473479487,0.065926899,0.06035621,-0.044112697,0.011752151,0.062029514,0.548576283,1.234108026,0.013479101
Blacktip shark,0.05059487,77.99,0.136309859,77.79860102,2.46,1.497700231,0.070469182,0.065840677,-0.033955762,0.012539986,0.064497978,0.586469215,1.257396306,0.013970571
Blacktip shark,0.047038407,78,0.123047401,77.76524507,2.39,1.457613137,0.065256346,0.057791056,-0.06067003,0.010829621,0.059653061,0.163448707,1.25189077,0.012979061
Blacktip shark,0.039715815,78.01,0.102717795,77.77312754,2.43,1.407198771,0.05516134,0.047556455,-0.074036684,0.009722518,0.051807205,-2.28021014,1.221089235,0.011467491
Blacktip shark,0.05655899,78.05,0.14919646,77.86124766,2.37,1.481895778,0.076208238,0.072988223,-0.021582382,0.012944383,0.070856258,-1.602253284,1.251441925,0.015222169
Blacktip shark,0.042583621,78.05,0.120628087,77.58520211,2.74,1.196809087,0.070226598,0.050401489,-0.164349025,0.010987384,0.055477494,0.553451316,1.303460519,0.012657053
Blacktip shark,0.053041907,78.03,0.142457899,77.83317057,2.45,1.485768472,0.074371786,0.068086113,-0.044123026,0.012996885,0.067550311,0.50261169,1.257820221,0.014643118
Blacktip shark,0.042469886,77.89,0.115723573,77.56837068,2.48,1.511556181,0.064547624,0.05117595,-0.115548403,0.010897593,0.055348571,0.660667211,1.325886022,0.012264408
Blacktip shark,0.042700861,77.91,0.117483298,77.54572192,2.58,1.510811301,0.064564578,0.052918721,-0.099127765,0.01130101,0.056328104,-2.099910541,1.294008825,0.012628457
Blacktip shark,0.047092863,77.95,0.12084838,77.74702419,2.36,1.442921578,0.063534356,0.057314024,-0.0514722,0.010921871,0.060299629,-0.565020452,1.229780309,0.013137263
Blacktip shark,0.037115454,78,0.094448966,77.74732204,2.33,1.39884564,0.050517518,0.043931447,-0.06973153,0.009195568,0.048715134,-0.134102391,1.23174388,0.010701469
Blacktip shark,0.024594782,77.99,0.061447979,77.68988918,2.29,1.371778892,0.033290146,0.028157834,-0.083522874,0.006885851,0.033963156,0.512361755,1.215640702,0.007586697
